target pageflip timestamp,pageflip timestamp,render start,render end,safety margin,refresh duration,vrr,tearing,predicted render time
8042020686665,8042087718000,8042061219661,8042069309270,17444118,16668333,0,0,22291966
8042037354998,8042104422000,8042077317199,8042084076188,19774384,16668333,0,0,22291966
8042121054666,8042137838000,8042103839285,8042108736231,21597347,16668333,0,0,22033875
8042171174666,8042171257000,8042138678294,8042142822899,22121350,16668333,0,0,21681587
8042187842999,8042187968000,8042153831721,8042158926074,21568486,16668333,0,0,21681587
8042204593666,8042204672000,8042172250998,8042179053846,20158973,16668333,0,0,21369425
8042221304666,8042221379000,8042188122275,8042195555170,21475319,16668333,0,0,21253110
8042238008666,8042238086000,8042206797949,8042213514346,20353831,16668333,0,0,21196616
8042271422666,8042271506000,8042241246502,8042248268973,20892126,16668333,0,0,21103801
8042304842666,8042304922000,8042275466961,8042281895899,21145960,16668333,0,0,21008370
8042338258666,8042338334000,8042309936097,8042317098971,20608070,16668333,0,0,20874951
8042371670666,8042371753000,8042344301821,8042351457135,19799281,16668333,0,0,20794825
8042405089666,8042405169000,8042378773944,8042385605797,19475736,16668333,0,0,20714875
8042438505666,8042438581000,8042412555965,8042418964354,18921091,16668333,0,0,20614026
8042471917666,8042488706000,8042447070301,8042455308696,19854856,16668333,0,0,20487026
8042505254332,8042522122000,8042482119742,8042489093123,-68126047,16668333,0,0,20487026
8042622131998,8042705907000,8042669017917,8042678056388,19401658,16668333,0,0,20412004
8042705907000,8042739325000,8042706144054,8042714256049,20847397,16668333,0,0,20783777
8042755911999,8042772744000,8042728624042,8042737086133,20815731,16668333,0,0,20783777
8042789329999,8042789449000,8042756359234,8042759978323,19503174,16668333,0,0,20728931
8042806080666,8042806158000,8042772792740,8042781327440,19676770,16668333,0,0,20700639
8042822785666,8042822869000,8042789419371,8042793648447,19226574,16668333,0,0,20520561
8042839494666,8042839574000,8042807287059,8042813630950,18604622,16668333,0,0,20513721
8042872910666,8042872992000,8042840824725,8042847172472,19207148,16668333,0,0,20277432
8042906328666,8042906403000,8042875390860,8042884205671,17858420,16668333,0,0,20119428
8042939739666,8042939820000,8042910035345,8042917539306,19375167,16668333,0,0,20146399
8042973156666,8042973237000,8042945156082,8042953906520,18384689,16668333,0,0,20066692
8043006573666,8043006654000,8042979622810,8042986783253,19019350,16668333,0,0,20083666
8043039990666,8043040066000,8043013894733,8043022185233,17528904,16668333,0,0,19977449
8043073402666,8043073487000,8043048063175,8043053779184,19849814,16668333,0,0,19956419
8043173496998,8043173735000,8043143268887,8043149952055,19904093,16668333,0,0,19754145
8043190165331,8043190437000,8043156891561,8043165631173,19019246,16668333,0,0,19754145
8043207071666,8043223856000,8043185891748,8043198591763,21221483,16668333,0,0,19369359
8043240441999,8043257273000,8043219825450,8043226065726,19197873,16668333,0,0,19387993
8043273860999,8043290685000,8043254351651,8043261744999,20761689,16668333,0,0,19730773
8043307277999,8043324102000,8043289140798,8043299038605,20021861,16668333,0,0,19559938
8043340689999,8043357520000,8043323171183,8043327309246,19457982,16668333,0,0,19473528
8043390856666,8043390934000,8043358296725,8043364274243,19780359,16668333,0,0,19268992
8043424270666,8043424351000,8043392979806,8043398025996,21383516,16668333,0,0,19096838
8043457687666,8043457764000,8043427335713,8043435092181,20246700,16668333,0,0,18869941
8043491100666,8043491182000,8043462249583,8043469707411,19509941,16668333,0,0,18840355
8043524518666,8043524597000,8043496422088,8043505300496,18738873,16668333,0,0,18785482
8043557933666,8043574724000,8043530987679,8043538505054,18871445,16668333,0,0,18841112
8043591270332,8043591428000,8043565139596,8043573835592,16948710,16668333,0,0,18841112
8043624764666,8043624846000,8043599556589,8043606495899,17865739,16668333,0,0,18770640
8043724855998,8043725093000,8043698401723,8043703858812,20170395,16668333,0,0,18670493
8043758429666,8043758507000,8043731496816,8043737852300,18998761,16668333,0,0,18081435
8043791843666,8043791924000,8043766632057,8043773660215,18302021,16668333,0,0,17973023
8043825260666,8043842051000,8043801235780,8043808485766,18539755,16668333,0,0,17913222
8043858597332,8043875465000,8043835802082,8043844572455,19095584,16668333,0,0,17913222
8043892055999,8043908881000,8043870654802,8043877624559,18932639,16668333,0,0,17849847
8043925469999,8043942296000,8043905194318,8043913776359,18808756,16668333,0,0,17924775
8043942217666,8043959003000,8043922525509,8043934574292,18927752,16668333,0,0,17852548
8043975632666,8043975711000,8043942245755,8043950520171,18989763,16668333,0,0,17905278
8043992339666,8043992421000,8043958968672,8043962032561,19831747,16668333,0,0,18063153
8044009047666,8044009126000,8043975592953,8043979349841,18557561,16668333,0,0,18067631
8044025757666,8044042542000,8044008396805,8044013682214,19277837,16668333,0,0,17892182
8044059130999,8044075963000,8044042356040,8044048996597,19073150,16668333,0,0,17744893
8044109299666,8044109394000,8044076897392,8044081876610,18205567,16668333,0,0,17475275
8044142730666,8044142795000,8044110800413,8044119211867,18618573,16668333,0,0,17281097
8044176131666,8044176208000,8044144960722,8044151938141,18317044,16668333,0,0,17342876
8044209468332,8044276456000,8044179328563,8044187451382,19172937,16668333,0,0,17342876
8044276217998,8044293162000,8044254916648,8044268801778,19481446,16668333,0,0,17285110
8044309792666,8044309874000,8044282169603,8044287580942,19140664,16668333,0,0,17380674
8044343210666,8044343285000,8044316786746,8044325717866,17753534,16668333,0,0,20681099
8044376621666,8044393408000,8044351366446,8044360311947,18555906,16668333,0,0,20729173
8044409958332,8044426829000,8044385047422,8044393854346,18566287,16668333,0,0,20729173
8044443412999,8044443534000,8044419363331,8044426289959,16743237,16668333,0,0,20791194
8044476870666,8044476953000,8044453571029,8044459003627,18226687,16668333,0,0,20748462
8044510289666,8044527076000,8044487910919,8044499641477,18610183,16668333,0,0,20526075
8044543626332,8044560488000,8044522565112,8044529184379,19183710,16668333,0,0,20526075
8044560412666,8044577196000,8044537099452,8044549794863,19117760,16668333,0,0,20909816
8044593824666,8044593908000,8044560302201,8044565399465,18271858,16668333,0,0,20749183
8044610532666,8044627323000,8044591175450,8044597558729,17585152,16668333,0,0,20902015
8044643912999,8044660740000,8044625954948,8044632545668,17788713,16668333,0,0,20768572
8044677327999,8044694152000,8044660236751,8044668938824,18065005,16668333,0,0,20594421
8044727488666,8044727571000,8044694486836,8044701718172,17867462,16668333,0,0,20446099
8044760907666,8044760982000,8044728734396,8044737029233,17069571,16668333,0,0,20337744
8044794318666,8044794401000,8044763271129,8044770858929,13144358,16668333,0,0,20309355
8044827655332,8044894651000,8044797430619,8044805820924,18848817,16668333,0,0,20309355
8044894410998,8044911356000,8044872673369,8044888265324,18834163,16668333,0,0,20225722
8044927987666,8044928065000,8044899798299,8044905315428,21641525,16668333,0,0,20160017
8044961401666,8044961482000,8044934194244,8044940091704,21424084,16668333,0,0,23405305
